,index,activity,location,sex,year,injury,case_number,time,age,type,area,country,fatal_y_n,species,index_original
0,0,Surfing,"Jupiter Island, Martin County",M,2023,Injury to lower leg,2023.02.19.a,Evening,60,Unprovoked,Florida,USA,N,unknown,0
1,2,Floating in inflatable pool ring,"Beds, Wylie Bay, Esperance",F,2022,Torso bitten,2022.02.10.R,Morning,20.0,Unprovoked,Western Australia,AUSTRALIA,N,unknown,2
2,3,,Karratha,M,2021,Laceration to foot,2021.04.24.a,Unknown,,Unprovoked,Western Australia,AUSTRALIA,N,unknown,3
3,4,Surfing,Cacimba do Padre Beach,M,2021,Puncture wounds to right hand,2021.01.22,Unknown,52.0,Unprovoked,Pernambuco,BRAZIL,N,unknown,4
4,5,Surfing,"New Smyrna Beach, Volusia County",M,2019,3 lacerations to left hand,2019.07.29.b,Unknown,18.0,Unprovoked,Florida,USA,N,unknown,5
5,6,Paddle boarding,"Pelican Waters, Caloundra",M,2019,Puncture wounds to wrist,2019.07.12,Morning,43.0,Unprovoked,Queensland,AUSTRALIA,N,bull,6
6,7,Snorkeling,Wells Cay,M,2019,Injuries to left lower leg,2019.06.21,Unknown,50.0,Unprovoked,,BAHAMAS,U,unknown,7
7,8,Surfing,Saint Leu,M,2019,FATAL,2019.05.14.b,Unknown,28.0,Unprovoked,,REUNION ISLAND,Y,unknown,8
8,9,Swimming,Kaiwi Channel,M,2019,Bite to abdomen,2019.03.22,Unknown,58.0,Unprovoked,Hawaii,USA,N,cookiecutter,9
9,10,Surfing,Nambucca,M,2018,Five deep lacerations to lower right leg,2018.12.15.a,Morning,36.0,Unprovoked,New South Wales,AUSTRALIA,N,unknown,10
10,11,Surfing,"Bethune Beach, Volusia County",F,2018,Black eye,2018.10.16.R,Morning,,Unprovoked,Florida,USA,N,unknown,11
11,12,Stand-Up Paddleboarding,"Pounders Beach, Oahu",M,2018,Right arm bitten,2018.09.15,Morning,23.0,Unprovoked,Hawaii,USA,N,tiger,12
12,13,Surfing,"New Smyrna Beach, Volusia County",M,2018,Minor injury to foot,2018.07.11.b,Morning,14.0,Unprovoked,Florida,USA,N,unknown,13
13,14,Floating,Staniel Cay,F,2018,Minor injury to wrist,2018.07.13.a,Unknown,19.0,Unprovoked,The Exuma Cays,BAHAMAS,N,nurse,14
14,16,Fishing,"Near the Bahia Honda Bridge, Monroe County",M,2018,Injury to fingers while removing hook from shark          PROVOKED INCIDENT,2018.07.02,Unknown,,Provoked,Florida,USA,N,nurse,16
15,17,Swimming,"Lantana Beach, Palm Beach County",M,2017,Puncture wounds & lacerations to foot,2017.10.22,Unknown,,Unprovoked,Florida,USA,N,unknown,17
16,18,Swimming,Sam's Creek area,M,2017,Minor injuries,2017.09.14,Unknown,,Unprovoked,Westerm Australia,AUSTRALIA,N,unknown,18
17,19,"Swimming, poaching abalone",Dyer Island,M,2017,FATAL,2017.09.10.a,Morning,,Unprovoked,Western Cape Province,SOUTH AFRICA,Y,unknown,19
18,20,Surfing,Floreat Beach,M,2017,"Minor injury, grazed by shark",2017.07.20.a,Morning,,Unprovoked,Western Australia,AUSTRALIA,N,unknown,20
19,21,Snorkeling,English Bay,F,2017,Calf & foot bitten,2017.04.27,Unknown,40.0,Unprovoked,Ascension Island,"ST HELENA, British overseas territory",N,unknown,21
20,22,Swimming,"Melbourne Beach, Brevard County",M,2017,Injury to hand,2017.02.21,Unknown,22.0,Unprovoked,Florida,USA,N,unknown,22
21,23,Teasing a shark,"Boca Raton, Palm Beach County",F,2016,Arm grabbed PROVOKED INCIDENT,2016.05.21.a,Unknown,23.0,Provoked,Florida,USA,N,nurse,23
22,24,Swimming,"First Sun Beach, Byron Bay",M,2016,Minor puncture wound to foot,2016.04.23,Morning,12.0,Unprovoked,New South Wales,AUSTRALIA,N,wobbegong,24
23,25,,"Ocean Reef Park, Singer Island, Palm Beach County",M,2016,Superficial injury to foot,2016.03.11,Unknown,12.0,Unprovoked,Florida,USA,N,unknown,25
24,26,Fishing,"Julian Rocks, Byron Bay",M,2015,Bruised in falling overboard as shark bumped boat,2015.03.18,Morning,,Watercraft,New South Wales,AUSTRALIA,N,unknown,26
25,27,Body surfing or Boogie boarding,"Melbourne Beach, Brevard County",F,2014,Laceration to right hand/wrist,2014.10.17,Unknown,,Unprovoked,Florida,USA,N,unknown,27
26,29,Standing,"3 to 4 miles west of Indian Pass, Gulf County",M,2014,Puncture wounds and lacerations to left thigh and knee,2014.08.24,Morning,,Unprovoked,Florida,USA,N,bull,29
27,30,Petting a shark,Horizontal Falls,M,2014,Lacerations to right hand by captive shark PROVOKED INCIDENT,2014.06.18.b,Unknown,,Provoked,Western Australia,AUSTRALIA,N,lemon,30
28,31,Wading,"Jacksonville Beach, Duval County",F,2014,Lacerations and puncture wounds to right foot,2014.05.15,Morning,44,Unprovoked,Florida,USA,N,unknown,31
29,32,Swimming,"Second Beach, Port St Johns",M,2014,FATAL,2014.04.03,Unknown,66,Unprovoked,Eastern Cape Province,SOUTH AFRICA,Y,unknown,32
30,33,Fishing,Umina Beach,M,2014,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,2014.02.07.b,Unknown,,Provoked,New South Wales,AUSTRALIA,N,unknown,33
31,34,Surfing,"Cocoa Beach, Brevard  County",M,2013,Right foot bitten,2013.12.13,Unknown,30,Unprovoked,Florida,USA,N,unknown,34
32,35,Surfing,"Melbourne Beach, Brevard County",M,2013,Lacerations to hand,2013.10.05,Morning,50,Unprovoked,Florida,USA,N,unknown,35
33,36,Surfing,"Carlin Park, Jupiter, Palm Beach County",M,2013,Lacerations to left foream,2013.09.25,Morning,,Unprovoked,Florida,USA,N,unknown,36
34,37,,,M,2013,Leg injured,2013.09.02,Unknown,,Unprovoked,,BAHAMAS,N,unknown,37
35,38,Cleaning fish,Compass Cay,M,2013,Bitten on left hand,2013.07.29.b,Unknown,64,Unprovoked,Exuma Islands,BAHAMAS,N,nurse,38
36,39,Diving,"Halewia, Oahu",M,2013,Lacerations to right hand,2013.06.06.b,Unknown,32,Unprovoked,Hawaii,USA,N,unknown,39
37,40,Fishing,Emerald Beach,M,2013,Foot bitten by landed shark PROVOKED INCIDENT,2013.05.08.a,Unknown,,Provoked,New South Wales,AUSTRALIA,N,wobbegong,40
